image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,name
https://api-ninjas.com/images/dogs/affenpinscher.jpg,3,3,3,3,1,2,5,3,3,3,3,3,12.0,15.0,11.5,11.5,10.0,10.0,9.0,9.0,7.0,7.0,Affenpinscher
https://api-ninjas.com/images/dogs/afghan_hound.jpg,3,3,1,4,1,1,3,3,3,1,4,3,12.0,18.0,27.0,27.0,60.0,60.0,25.0,25.0,50.0,50.0,Afghan Hound
https://api-ninjas.com/images/dogs/airedale_terrier.jpg,3,3,1,3,1,2,3,3,5,3,3,3,11.0,14.0,23.0,23.0,70.0,70.0,23.0,23.0,50.0,50.0,Airedale Terrier
https://api-ninjas.com/images/dogs/akita.jpg,3,1,3,3,1,1,2,3,5,3,4,2,10.0,14.0,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,Akita
https://api-ninjas.com/images/dogs/japanese_akitainu.jpg,0,0,3,1,0,1,0,0,0,2,3,0,12.0,15.0,27.5,27.5,75.0,65.0,25.0,25.0,65.0,55.0,Japanese Akitainu
https://api-ninjas.com/images/dogs/alaskan_klee_kai.jpg,0,0,3,2,0,1,0,0,0,3,4,0,13.0,16.0,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,Alaskan Klee Kai
https://api-ninjas.com/images/dogs/alaskan_malamute.jpg,3,3,3,3,1,1,3,3,4,5,4,3,10.0,14.0,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,Alaskan Malamute
https://api-ninjas.com/images/dogs/american_bulldog.jpg,3,3,2,0,0,1,0,0,0,4,0,1,10.0,12.0,28.0,24.0,100.0,80.0,20.0,20.0,75.0,60.0,American Bulldog
https://api-ninjas.com/images/dogs/american_english_coonhound.jpg,3,5,2,1,1,1,3,3,3,3,4,4,11.0,12.0,26.0,26.0,65.0,65.0,24.0,24.0,45.0,45.0,American English Coonhound
https://api-ninjas.com/images/dogs/american_eskimo_dog.jpg,5,3,3,3,1,1,5,3,3,4,4,3,13.0,15.0,26.0,26.0,65.0,65.0,24.0,24.0,45.0,45.0,American Eskimo Dog
https://api-ninjas.com/images/dogs/american_foxhound.jpg,5,5,3,1,1,1,3,3,3,3,4,5,11.0,13.0,25.0,25.0,70.0,65.0,22.0,22.0,65.0,60.0,American Foxhound
https://api-ninjas.com/images/dogs/american_hairless_terrier.jpg,5,3,1,1,1,1,3,3,3,5,3,3,14.0,16.0,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,American Hairless Terrier
https://api-ninjas.com/images/dogs/american_staffordshire_terrier.jpg,3,3,2,1,1,1,4,3,5,3,3,3,12.0,16.0,19.0,19.0,70.0,55.0,18.0,18.0,55.0,40.0,American Staffordshire Terrier
https://api-ninjas.com/images/dogs/american_water_spaniel.jpg,3,3,1,3,1,1,3,3,3,5,3,3,10.0,14.0,18.0,18.0,45.0,40.0,15.0,15.0,30.0,25.0,American Water Spaniel
https://api-ninjas.com/images/dogs/anatolian_shepherd_dog.jpg,3,3,3,2,1,1,1,3,5,2,3,3,11.0,13.0,29.0,29.0,150.0,120.0,29.0,29.0,110.0,80.0,Anatolian Shepherd Dog
https://api-ninjas.com/images/dogs/appenzeller_sennenhund.jpg,3,3,3,2,1,1,3,3,3,3,3,4,12.0,15.0,22.0,22.0,70.0,70.0,19.0,19.0,48.0,48.0,Appenzeller Sennenhund
https://api-ninjas.com/images/dogs/australian_cattle_dog.jpg,3,3,3,1,1,1,3,3,4,4,5,1,12.0,16.0,20.0,20.0,50.0,50.0,18.0,18.0,35.0,35.0,Australian Cattle Dog
https://api-ninjas.com/images/dogs/australian_kelpie.jpg,3,3,3,1,1,1,3,3,4,4,5,1,10.0,13.0,20.0,20.0,50.0,50.0,17.0,17.0,35.0,35.0,Australian Kelpie
https://api-ninjas.com/images/dogs/australian_shepherd.jpg,5,3,3,2,1,1,3,4,3,5,5,3,12.0,15.0,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,Australian Shepherd
https://api-ninjas.com/images/dogs/australian_terrier.jpg,5,3,1,2,1,1,3,4,4,4,4,5,11.0,15.0,11.0,11.0,20.0,20.0,10.0,10.0,15.0,15.0,Australian Terrier
https://api-ninjas.com/images/dogs/azawakh.jpg,3,3,2,2,1,1,1,3,3,2,3,1,12.0,15.0,29.0,29.0,55.0,44.0,25.0,25.0,44.0,33.0,Azawakh
https://api-ninjas.com/images/dogs/barbado_da_terceira.jpg,4,3,1,0,0,1,0,0,0,5,5,5,12.0,14.0,22.0,22.0,60.0,57.0,20.5,20.5,55.0,46.0,Barbado da Terceira
https://api-ninjas.com/images/dogs/barbet.jpg,5,5,1,3,1,2,3,3,3,4,3,3,12.0,14.0,24.5,24.5,65.0,65.0,19.0,19.0,35.0,35.0,Barbet
https://api-ninjas.com/images/dogs/basenji.jpg,3,3,2,1,1,1,3,3,3,2,4,1,13.0,14.0,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,Basenji
https://api-ninjas.com/images/dogs/basset_fauve_de_bretagne.jpg,5,4,3,2,1,1,3,3,3,3,4,4,12.0,12.0,15.5,15.5,35.0,35.0,12.5,12.5,27.0,27.0,Basset Fauve de Bretagne
