dog_breed,avg_life_expectancy,avg_height,avg_weight
Affenpinscher,13.5,10.25,8.5
Afghan Hound,15.0,26.0,55.0
Airedale Terrier,12.5,23.0,60.0
Akita,12.0,27.0,100.0
Alaskan Klee Kai,14.5,27.0,100.0
Alaskan Malamute,12.0,25.0,80.0
American Bulldog,11.0,23.0,78.75
American English Coonhound,11.5,25.0,55.0
American Eskimo Dog,14.0,25.0,55.0
American Foxhound,12.0,23.5,65.0
American Hairless Terrier,15.0,14.0,14.0
American Staffordshire Terrier,14.0,18.5,55.0
American Water Spaniel,12.0,16.5,35.0
Anatolian Shepherd Dog,12.0,29.0,115.0
Appenzeller Sennenhund,13.5,20.5,59.0
Australian Cattle Dog,14.0,19.0,42.5
Australian Kelpie,11.5,18.5,42.5
Australian Shepherd,13.5,21.5,52.5
Australian Terrier,13.0,10.5,17.5
Azawakh,13.5,27.0,44.0
Barbado da Terceira,13.0,21.25,54.5
Barbet,13.0,21.75,50.0
Basenji,13.5,17.0,23.0
Basset Fauve de Bretagne,12.0,14.0,31.0
Basset Hound,12.5,13.0,52.5
Beagle,12.5,14.5,21.25
Bearded Collie,13.0,21.5,50.0
Beauceron,11.0,26.5,90.0
Bedlington Terrier,13.5,16.25,20.0
Berger Picard,12.5,24.5,60.0
Bernese Mountain Dog,8.5,26.25,90.0
Black Russian Terrier,11.0,28.5,105.0
Black and Tan Coonhound,11.0,26.0,87.5
Bloodhound,11.0,26.0,95.0
Bluetick Coonhound,11.5,24.5,61.25
Boerboel,10.0,25.5,175.0
Bohemian Shepherd,13.5,21.1,47.75
Bolognese,13.0,11.0,7.25
Border Collie,13.5,20.5,42.5
Border Terrier,13.5,13.5,13.5
Borzoi,11.5,30.25,81.25
Boston Terrier,12.0,16.0,18.5
Bouvier des Flandres,11.0,26.0,90.0
Boxer,11.0,24.0,65.0
Boykin Spaniel,12.5,16.75,32.5
Bracco Italiano,12.0,24.0,72.5
Braque Francais Pyrenean,13.5,20.75,47.5
Braque du Bourbonnais,11.0,20.75,44.0
Briard,12.0,25.0,77.5
Brittany,13.0,19.0,35.0
Broholmer,9.0,28.5,120.0
Brussels Griffon,13.5,8.5,9.0
Bull Terrier,12.5,21.5,60.0
Bulldog,9.0,14.5,45.0
Bullmastiff,8.0,26.0,115.0
