,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Affenchon,,,,,,,,,,,,,,,,,,,,,,,,"The Affenchon is a designer breed originating in the United States, resulting from the crossbreeding of Affenpinschers and Bichon Frises.",These small dogs typically stand around 9 to 12 inches tall and weigh between 7 to 13 pounds.,"Affenchons are known for their charming and fluffy appearance, often showcasing a white or cream-colored coat and an expressive face.","Their playful, affectionate, and sociable nature characterizes them, making them ideal companions for both families and individuals.","While generally healthy, Affenchons may inherit certain genetic issues common in their parent breeds, so regular veterinary check-ups are essential.","The lifespan of an Affenchon typically ranges from 12 to 15 years, providing years of joyful companionship.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Affenpinscher,https://api-ninjas.com/images/dogs/affenpinscher.jpg,3.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,12.0,15.0,11.5,11.5,10.0,10.0,9.0,9.0,7.0,7.0,Germany,Toy,,"Intelligent, playful, and affectionate",,12-15 years,Terrier,"Wire-haired, in shades of black or brown",Moderate,Easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Hound,https://api-ninjas.com/images/dogs/afghan_hound.jpg,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,12.0,18.0,27.0,27.0,60.0,60.0,25.0,25.0,50.0,50.0,Afghanistan,26 to 28 inches tall at the shoulder.,,,"They are prone to some health problems, such as hip dysplasia, eye problems, and allergies.",10-13 years.,,,,,"The Afghan Hounds’ long, thick coat requires daily brushing. They are also prone to matting, so it is important to brush them regularly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghan Retriever,,,,,,,,,,,,,,,,,,,,,,,,"The Afghan Retriever is a mixed breed known for its unique combination of the Afghan Hound and Golden Retriever, originating in recent years as a ‘designer dog’.","Afghan Retrievers typically range from medium to large, with a well-built and elegant appearance.","They have a shiny coat that requires regular grooming, and their appearance combines the Afghan Hound’s elegance with the Golden Retriever‘s friendly demeanor.","Afghan Retrievers are loyal and well-mannered with consistent training, inheriting the friendly nature of Golden Retrievers and the elegance of Afghan Hounds.","While generally healthy, Afghan Retrievers may be prone to health issues common to their parent breeds, so regular veterinary check-ups are essential.",Afghan Retrievers typically live around 10 to 13 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airedale Terrier,https://api-ninjas.com/images/dogs/airedale_terrier.jpg,3.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,11.0,14.0,23.0,23.0,70.0,70.0,23.0,23.0,50.0,50.0,"Aire Valley, Yorkshire, England","22-24 inches tall at the shoulder, 45-65 pounds",,"Intelligent, loyal, playful, and fearless","Generally healthy, but can be prone to some health problems, such as hip dysplasia and elbow dysplasia",10-13 years,,"Wiry, harsh, and double layer that comes in black, tan, or brindle",High,,Brushed 2-3 times a week and hand-stripped once a month,Terrier,Firmness and consistency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akbash,,,,,,,,,,,,,,,,,,,,,,,,"Turkey. The name “Akbash” is Turkish (Akbaş) for “white head.” They are closely related to the Kangal dog breed, another large livestock guardian dog from Turkey","Large, with males standing 28-34 inches tall and weighing 80-140 pounds, and females standing 26-32 inches tall and weighing 60-120 pounds.",,,,10-12 years.,,"White, with a medium-length double coat that sheds moderately year-round.",,,,,,"Hip dysplasia, elbow dysplasia, bloat, eye problems.","High. Akbash dogs need plenty of exercise, both physical and mental.",Regular brushing to remove dead hair and prevent mats.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,https://api-ninjas.com/images/dogs/akita.jpg,3.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,5.0,3.0,4.0,2.0,10.0,14.0,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,Japan,Large,,"Loyal, dignified, and reserved with strangers; affectionate and protective with family","Prone to certain health issues, including hip dysplasia, autoimmune disorders, and certain genetic conditions like progressive retinal atrophy (PRA)",10-15 years,,"Thick double coat, can be short or long-haired",,,Regular brushing and occasional grooming to maintain the coat’s health and appearance,Working,"Requires early socialization and consistent, firm training due to their independent nature",,,,"Moderate exercise requirements, regular walks and playtime are essential",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita Basset,,,,,,,,,,,,,,,,,,,,,,,,United States,Medium to large,,"Intelligent, loyal, and affectionate, but can also be independent and stubborn",,10-15 years,Designer breed,"Varies depending on the parents, but can be short or long, and may be straight, wavy, or curly",Moderate to high,Moderate to difficult,,,,"Hip dysplasia, elbow dysplasia, eye problems, and allergies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Klee Kai,https://api-ninjas.com/images/dogs/alaskan_klee_kai.jpg,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,13.0,16.0,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,United States,"13-15 inches tall at the shoulder, 10-20 pounds",,"Alert, energetic, and curious, yet reserved with unfamiliar people and situations","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems",12-15 years,Spitz,"Double coat, can be black, gray, sable, red, white, or wolf sable","Moderate, 30-60 minutes of exercise per day",,,,Intelligent and easy to train,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaskan Malamute,https://api-ninjas.com/images/dogs/alaskan_malamute.jpg,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,5.0,4.0,3.0,10.0,14.0,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,"Alaska, United States","Large breed, males 25 inches tall at the shoulder and 85 pounds, females 23 inches tall and 75 pounds",,"Gentle giants, loyal, affectionate, playful, but can be independent and stubborn","Some health concerns include hip dysplasia, elbow dysplasia, eye problems, and bloat",10-14 years,Working dog,"Thick, double coat that comes in gray, black, white, and sable","High, at least 2 hours of exercise per day",,"Moderate, requires brushing 2-3 times per week",,"Needs early and consistent training, can be stubborn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
