,id,Breed,Country,City,State
0,0,Affenchon,United States,,
1,1,Affenpinscher,Germany,,
2,2,Afghan Hound,Afghanistan,,
3,3,Airedale Terrier,England,Aire Valley, Yorkshire
4,4,Akbash,Turkey,,
5,5,Akita,Japan,,
6,6,Akita Basset,United States,,
7,7,Alaskan Klee Kai,United States,,
8,8,Alaskan Malamute,United States,,Alaska
9,9,Alopekis,Greece,,
10,10,American Bandogge,United States,,
11,11,American Boston Bull Terrier,United States,,
12,12,American Bulldog,United States,,
13,13,American Bully,United States,,
14,14,American Eskimo Dog,United States,,
15,15,American Foxhound,United States,,
16,16,American Pit Bull Terrier,United States,,
17,17,American Staffordshire Terrier,United States,,
18,18,Anatolian Shepherd Dog,Turkey,,
19,19,Appenzeller Sennenhunde,Switzerland,,
20,20,Armenian Gampr,Armenia,,
21,21,Aussiedoodle,United States,,
22,22,Australian Cattle Dog,Australia,Smithfield,
23,23,Australian Kelpie,Australia,,
24,24,Australian Labradoodle,Australia,,
25,25,Australian Retriever,United States,,
26,26,Australian Shepherd,Australia,,
27,27,Australian Terrier,Australia,,
28,28,Azawakh,West Africa,,
29,29,Barbado da Terceira,Portugal,Terceira Island,Azores
30,30,Barbet,France,,
31,31,Bascottie,United States,,
32,32,Basenji,Central Africa,,
33,33,Basset Hound,France,,
34,34,Bassetoodle,United States,,
35,35,Bavarian Mountain Scent Hound,Germany,,
36,36,Beagle,England,,
37,37,Beaglier,Australia,,
38,38,Bearded Collie,Scotland,,
39,39,Bedlington Terrier,England,,
40,40,Belgian Laekenois,Belgium,,
41,41,Belgian Malinois,Belgium,,
42,42,Belgian Sheepdog,Belgium,,
43,43,Belgian Tervuren,Belgium,,
44,44,Berger Picard,France,,
45,45,Bernedoodle,United States,,
46,46,Bernese Mountain Dog,Switzerland,,
47,47,Bichon Frise,Spain,Tenerife,Canary Islands
48,48,Biewer Terrier,Germany,,
49,49,Black Mouth Cur,United States,,
50,50,Black and Tan Coonhound,United States,,
51,51,Bloodhound,Belgium,,
