dog_breed,review
Affenpinschers," The ""toy-terrier"" Affenpinscher is spunkier than most other toy breeds. Somewhat high-strung, he tends to tremble when excited. If he perceives an invasion of his space by an approaching stranger or strange dog, he will try to appear intimidating by becoming raucous and blustery. It might look comical, but if not nipped in the bud, an Affenpinscher may maintain his suspicious attitude even after a guest has been welcomed in. Socialization is very important with this breed to keep him under control. The Affenpinscher adores his family and is fine with other family pets, especially when raised with them. In the home, he is an inquisitive busybody who must check out new sights and sounds. His playful antics are delightfully entertaining as he bats toys around with his agile paws. Affenpinschers do have a mind of their own, and without a firm hand can be obstinate and demanding, tossing tantrums or sulking when they don't get their own way. It might make you laugh, but spoiling is not recommended for this breed, especially since he is so bright and does respond well to calm, patient training. Like most terrier-type dogs, the Affenpinscher is proud and sensitive and does not take kindly to being teased. This breed is happiest in a home without young children. If you want a dog who... An Affenpinscher may be right for you. If you don't want to deal with... An Affenpinscher may not be right for you. Keep in mind that the inheritance of temperament  is less predictable than the inheritance of physical  traits such as size or shedding. Temperament and behavior are also shaped by raising and training. ""Respect Training for Puppies""  (or ""Respect Training for Adult Dogs"" ) is a step by step guide to help you bring out the best in your pup so you can enjoy a calm and well-behaved dog, no matter what his age. Get your book today. ""11 Things You Must Do Right To Keep Your Dog Healthy and Happy""  is a comprehensive guide to keeping your dog mentally, physically, and emotionally happy and healthy so you can enjoy a longer lifetime of companionship. A healthy dog is a happy dog, so buy your copy today.  More traits and characteristics of the Affenpinscher If I was considering an Affenpinscher, I would be most concerned about..."
Afghan Hounds," The AKC Standard calls him ""an aristocrat, his whole appearance one of dignity and aloofness.... eyes gazing into the distance as if in memory of ages past."" Some Afghan Hounds are indeed dignified, while others are altogether silly clowns, and still others alternate gleefully between the two. Though quiet indoors, the Afghan Hound should not be left unsupervised for long periods of time without personal attention and running exercise, for he bores easily and then he can become seriously destructive. Standoffish by nature, the Afghan Hound needs extensive exposure to people and unusual sights and sounds so that his caution does not become timidity. He is sociable with other dogs, but has strong hunting/prey instincts and so he may chase smaller pets. This needs to be stopped immediately. Obedience training will control his bumptiousness and build his confidence, but you must be patient and persuasive, for sighthounds are extremely sensitive to leash jerking. They could respond defensively if frightened. Independent and not particularly eager to please, their stubbornness takes the form of resistance rather than wild disobedience, i.e. they brace their legs and refuse to walk. Don't let this breed off-leash, for he is blazing fast and can gallop out of sight in seconds. His high hipbones make him one of the most agile of all breeds and one of the best jumpers. Your fences should be at least 6 feet high, preferably 7 or 8 feet. If you want a dog who... An Afghan Hound may be right for you. If you don't want to deal with... An Afghan Hound may not be right for you. Dog Breed Traits – Which Traits Are Right For You? In this brand new series, I'll help you decide which dog breed traits would best suit you and your family, your home and yard, and your lifestyle, so you can choose the best dog breed for your family. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Afghan Hound If I was considering an Afghan Hound, I would be most concerned about... See if there is a dog club in your area that offers an activity called lure coursing, which is chasing a mechanical lure in a controlled setting. This is an appropriate outlet for the full-speed galloping behaviors that are ""hardwired"" into your Afghan Hound's genes.  If you have young children, I do not recommend an Afghan Hound. These sensitive dogs often feel overwhelmed by the loud voices and quick movements that children can't help making – and stress and shyness may be the result."
Airedale Terriers," A rowdy handful as a puppy, the Airedale Terrier matures into a dignified, self-assured, courageous adult. This athletic dog romps and plays hard. Without vigorous exercise and lots of personal interaction, he is easily bored and may become destructive as he seeks to entertain himself. Young Airedale Terriers are especially rambunctious and can turn your garden into a moonscape of excavated moles and tulip bulbs. Mental stimulation (hunting, obedience, agility, playing games) is essential for this thinking breed. You can't just leave him alone all day or stick him outside and hope that he'll lie down quietly and be happy. An Airedale's attitude toward strangers varies from enthusiastically friendly to sensibly polite, but even the friendly ones tend to be vigilant watchdogs. Some individuals are more protective than others. With other dogs, most Airedale Terriers are bold and aggressive, and with their strong hunting instincts they must be exposed early to cats, else they may not be safe with cats. Rabbits and rodents are not a wise addition to the household. This breed is very smart, but also independent. Unless you establish yourself as the alpha (number one), he can be headstrong. Yet assertive owners who know how to lead will find him eminently trainable. If you want a dog who... An Airedale Terrier may be right for you. If you don't want to deal with... An Airedale Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Airedale Terrier If I was considering an Airedale Terrier, I would be most concerned about... Airedale Terriers were never intended to be simply household pets. Their ""working"" behaviors (following scents, searching for prey animals, chasing things that run, digging, exploring) can be a nuisance in a normal household setting. Trying to suppress these ""hardwired"" behaviors, without providing alternate outlets for their high energy level, can be difficult. To teach your Airedale to listen to you, ""Respect Training"" is mandatory. My Airedale Training Page discusses the program you need."
Akitas," The Akita Inu is handsome, calm, dignified, clean (easy to housebreak), and quiet (seldom barks). So it's understandable that he might be viewed as a desirable pet! However.... the Akita Inu has a complex personality that makes him very challenging to raise. Physically powerful, reserved with strangers, and protective, the Akita Inu must be accustomed to people at an early age so that his guarding instincts remain controlled rather than indiscriminate. Akitas can be so aggressive with other dogs of the same sex that two males or two females should never be left alone together. The problem is that this breed can be difficult to ""read"" – often he does not ""posture"" (display obvious signs of aggression) – instead, an Akita may co-exist peacefully with another dog until suddenly, apparently out of the blue, a minor disagreement occurs, or perhaps the other dog pushes the Akita too far or approaches the Akita's food bowl or favorite toy, and then the Akita may attack with ferocity. Akitas can be very possessive of their food – keep children and other pets away from them during mealtime. As you might guess, cats and other small animals are also at risk around an Akita. In general, it is simply safest to keep this breed as an only pet. Training can be a challenge, for the Akita Inu is assertive, strong-willed, and bores easily. He may use his intelligence in ways that suit his own purposes. Yet owners who know how to lead will find him eminently trainable via praise and reward methods. This breed must be treated with respect – absolutely no teasing – but you must insist that he return that respect, or he will walk right over you. Akitas are not a good choice for a first-time dog owner. Unlike many other large breeds, the Akita Inu doesn't require hours of running exercise. He does well with long brisk walks and an occasional vigorous run, especially in cold weather. Akitas LOVE snow and cold. If you want a dog who... An Akita Inu may be right for you. If you don't want to deal with... An Akita Inu may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Akita Inu If I was considering an Akita, I would be most concerned about... To teach your Akita Inu to listen to you, ""Respect Training"" is mandatory. My Akita Training Page discusses the program you need. If you have small children, I do not recommend an Akita Inu. There are just too many Akitas who don't tolerate any nonsense. Frankly, most Akitas are ""too much dog"" for the average household. Most people lack the skills necessary to manage this breed."
Alaskan Malamutes," The rugged Alaskan Malamute is a working dog, best suited to people who love the great outdoors. He plays vigorously and is most content when pulling or packing a load (sledding, ski-joring, weight pulling, backpacking), especially in cold weather. This breed should not be kept in a hot climate. Alaskan Malamutes are very challenging to train and live with. Without sufficient exercise and challenging things to do, Malamutes become rambunctious and bored, which they usually express by chronic howling and destructive chewing. Bored Alaskan Malamutes are famous for chewing through drywall, ripping the stuffing out of sofas, and turning your yard into a moonscape of giant craters. Potential aggression toward other animals is a real concern. When this breed fights, the battles can be serious and bloody. The Alaskan Malamute can be so dominant toward other dogs of the same sex that two males or two females should not be kept together unless you are a very experienced owner. Malamutes can be predatory with smaller pets. I would not keep a Malamute with a cat unless the pair has grown up together. When outdoors, Malamutes must be securely confined behind a high fence, for they can be escape artists with strong exploratory instincts. Once loose, they won't come back when you call them and they may run deer and molest livestock. On the other hand, Alaskan Malamutes are usually great with people. From their wolfish appearance, they may look like intimidating protectors, but most Mals are friendly with everyone and make miserable watchdogs. Still, this is a substantial, powerful breed, so it is essential to socialize youngsters so they grow up to trust and respect people. This self-reliant breed will test for position in the family pecking order. Unless you establish yourself as the alpha (number one), he can be headstrong and demanding. Unneutered males, especially, can be very dominant and possessive of their food. If you want a dog who... An Alaskan Malamute may be right for you. If you don't want to deal with... An Alaskan Malamute may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the Alaskan Malamute If I was considering an Alaskan Malamute, I would be most concerned about... If you have small children, or if you or anyone who lives with you is elderly or infirm, I do not recommend Alaskan Malamute puppies. The temptation to play roughly is too strong in many young Alaskan Malamutes. To keep your Alaskan Malamute in, and to keep other animals out, fences should be high, with wire sunk into the ground along the fence line to thwart digging. Gates should have the highest quality locks. Many Alaskan Malamutes are clever escape artists who will go over, under, or through fences in search of adventure. Frankly, most Alaskan Malamutes are ""too much dog"" for the average household. This is a serious working dog with tremendous strength. Very few people really have the knowledge, facilities, or skills necessary to manage this breed, or to provide the types of activities that keep him satisfied."
American Bulldogs," In the 1980s, the movie Homeward Bound  introduced the American Bulldog to the public. Since then, his popularity has skyrocketed... which isn't good. Trash-talking breeders are preying on uninformed buyers, running flashy ads, representing dogs of dubious lineage as purebred, not testing temperaments before breeding, and not certifying hips. Thus, this is a tricky breed to acquire. Several different American Bulldog clubs are vying to control the future of the breed, and politics and conflict abound. Get references, double-check everything you're told, refuse to pay outrageous prices, and look for temperament titles (BST, ATT) and obedience titles in the pedigree. The muscular American Bulldog possesses great strength, tenacity, determination, and confidence. He is best owned by active people who are interested in developing his athletic abilities in weight pulling, obedience, agility, hunting, farm work, or Schutzhund. Though usually calm and self-possessed, he must have vigorous exercise to stay fit and happy. His attitude toward strangers varies from friendly to standoffish, and even the friendly ones make vigilant guardians. Early socialization is an absolute requirement to promote a stable, discriminating temperament. The American Bulldog lives for his family and may become destructive if left alone too much. Dog aggression can be a problem; he should be thoroughly socialized with other dogs from an early age. Cats, too. Though strong-willed, he learns quickly and will respect an owner who is equally confident and consistent. Because of public/media prejudice toward any breed resembling a ""pit bull,"" American Bulldogs should be kept on-leash outside their yard and trained through at least basic obedience. If you want a dog who... An American Bulldog may be right for you. If you don't want to deal with... An American Bulldog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the American Bulldog If I was considering an American Bulldog, I would be most concerned about... If you simply want a pet for your family, and don't have the time or inclination to take your dog running or hiking or swimming or biking, or to get involved in weight-pulling, or tracking, or agility (obstacle course), or schutzhund (protection), or a similar canine activity, I do not recommend this breed. American Bulldogs were never intended to be simply household pets. To teach your Bulldog to listen to you, ""Respect Training"" is mandatory. My American Bulldog Training Page discusses the program you need. Frankly, most American Bulldogs are ""too much dog"" for the average household. Very few people really have the knowledge or skills necessary to manage this breed, or to provide the types of activities that keep him satisfied."
American Cocker Spaniels," The American Cocker Spaniel should be a sweet-natured, happy, playful dog. And many individuals are. Unfortunately behavioral consultants like myself see an awful lot of American Cockers with neurotic behaviors, including nastiness. So you need to be very careful when buying or adopting a Cocker Spaniel. Obviously you want to choose one of the nice ones! The American Cocker does need regular exercise, but daily walks and romps in the backyard or at a dog park will suffice. When well socialized, American Cocker Spaniels are friendly and peaceful with strangers and other animals. Some Cockers are a bit stubborn, but most are responsive to persuasive, cheerful obedience training that includes praise and occasional food rewards. Some Cocker Spaniels, especially adolescents and young adults, are excessively submissive. These dogs might suddenly urinate (or dribble urine) when they get over-excited or feel intimidated. This might simply be someone's hand reaching to pet them, or your body looming over them during play. This is not a housebreaking issue! It's called excitable or submissive urination and it might go away with time as long as you don't punish the dog. If you want a dog who... An American Cocker Spaniel may be right for you. If you don't want to deal with... An American Cocker Spaniel may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the American Cocker Spaniel If I was considering an American Cocker Spaniel, I would be most concerned about... If you have small children, I would be very careful about choosing an American Cocker Spaniel. A good Cocker would be fine, but there are so many whose temperaments are suspect. Some of these dogs won't tolerate any nonsense. Others get overwhelmed by the loud voices and quick movements that children can't help making. If you combine such a sensitive individual with active children, the result might be stress that could lead to defensive biting if the dog felt startled or threatened. To teach your Cocker to listen to you, ""Respect Training"" is mandatory. My Cocker Spaniel Training Page discusses the program you need."
American Eskimo Dogs," The American Eskimo Dog is happy and high-spirited, an active dog who enjoys vigorous exercise, especially in the snow. American Eskimo Dogs, affectionately known as Eskies, are very people-oriented and crave a lot of companionship. Without enough activity (physical and mental), this creative thinker becomes bored and mischievous . . . which means destructive and noisy. Most American Eskimo Dogs are conservative with strangers, keen of eye and acute of hearing, and serious about their watchdog responsibilities, though not usually progressing to the point of aggression. However, early and frequent socialization is required to ensure that their watchfulness does not become suspicion or sharpness. Most American Eskimo Dogs are fine with other dogs, but can be jealous when other animals get attention. This breed is smart, learns quickly, and excels at performing tricks, but he is also independent and can be willful. If you don't consistently enforce the rules, an American Eskimo Dog will use his intelligence in clever ways that suit his own purposes. If you want a dog who... An American Eskimo Dog may be right for you. If you don't want to deal with... An American Eskimo Dog may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the American Eskimo Dog If I was considering an American Eskimo Dog, I would be most concerned about... To teach your Eskie to listen to you, ""Respect Training"" is mandatory. My American Eskimo Dog Training Page discusses the program you need."
American Pit Bull Terriers," ""Pit Bulls are dangerous."" ""Pit Bulls are sweethearts."" What to believe? In my experience, each of those statements has truth to it. Some American Pit Bull Terriers are indeed dangerous. They act aggressively toward humans or other animals. It may not be ""their fault"" in the sense that they might have inherited bad genes and/or been raised badly or abused. Yet the end result is that they're dangerous. Not the breed as a whole. But certainly some individuals. On the other hand, many Pit Bull Terriers are absolute sweethearts. So many Pit Bulls who have been poorly bred (or poorly raised or abused) never lose their trust in humans. It's enough to make you cry. The problem is that you often can't tell by looking at an individual whether he's one of the dangerous ones or one of the safe sweethearts. And of course you're reluctant to guess wrong, because of the possible consequences. So you play it safe by crossing the street. Your concern is understandable. It's sensible to recognize that there are Pit Bull Terriers still being bred for dog-fighting, or for guarding the lairs of gang bangers and drug dealers. Fortunately there are also breeders who focus on positive attributes such as intelligence, athleticism, and a keen working mind. They breed their dogs to compete in obedience trials, agility trials, or weight-pulling. American Pit Bull Terriers need at least moderate daily exercise to maintain their splendid muscle tone. You must also provide interesting activities to keep them feeling satisfied. This is not a dog to leave in the back yard with nothing to do. Pit Bulls carry themselves with an impressive, confident presence. Yet so many individuals have the soft gentle heart of a Golden Retriever and are friendly, or at least polite, with family and strangers alike. However.... attitude toward other canines is another story. Their dog-fighting ancestry dictates a strong-willed, no-nonsense kind of dog who does not take kindly to being challenged by other assertive dogs. Most Pit Bull Terriers do not start fights, but if confronted, most will readily engage. It's true that many Pit Bulls live peacefully in a house full of pets. Yet there is always the risk that dormant instincts may suddenly flare into deadly combat. As far as training goes, American Pit Bull Terriers can be stubborn. But they respond well to confident owners who know how to establish and enforce rules of expected behavior. Because of public/media prejudice, every American Pit Bull Terrier should be trained through at least basic obedience and always leashed outside of his yard. Every well-behaved Pit Bull Terrier seen on the street can help counteract anti-breed sentiment. If you want a dog who... An American Pit Bull Terrier may be right for you. If you don't want to deal with... An American Pit Bull Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the American Pit Bull Terrier If I was considering an American Pit Bull Terrier, I would be most concerned about... To keep your Pit Bull in, and to keep other animals out, fences should be at least six feet high. If you have a digger, sink wire into the ground along the fence line. Gates should have the highest quality locks. Frankly, most American Pit Bull Terriers are ""too much dog"" for the average household."
American Staffordshire Terriers," ""Hey, that looks like a Pit Bull!"" is the typical response when someone meets an American Staffordshire Terrier (AmStaff) for the first time. It's true. An American Staffordshire Terrier and an American Pit Bull Terrier can look much the same – often so much the same that experts can't tell them apart. In fact, the same dog can be registered with the American Kennel Club as an American Staffordshire Terrier and also with the United Kennel Club as an American Pit Bull Terrier! So what's up with that? Well, these two breeds share exactly the same roots – a combination of tough working terriers and bulldogs brought to the U.S. from Great Britain in the late 1800s. They were used for dog-fighting and also as general farm dogs. In the 1930s, some breeders decided to focus on conformation shows where a standardized appearance was the most important goal. These lines of dogs became the American Staffordshire Terrier (AmStaff). Animal aggression was toned way down, and a more laid-back temperament is typical. Yes. It often surprises people to learn that this extremely muscular dog with the impressive, confident presence is so easygoing. A well-bred American Staffordshire Terrier is a dependable, good-natured, loyal companion. Athletic and agile, with finely tuned reflexes, he must have moderate daily exercise to maintain his splendid muscle tone. Companionship is even more important, and extensive ongoing socialization is paramount. His attitude toward strangers varies from exuberant face kissing to polite reserve. His attitude toward other animals, however, may be another story. Most lines are not particularly close to their dog-fighting ancestry, and many AmStaffs will live peacefully in a houseful of pets. But if confronted by another assertive dog, most AmStaffs will readily engage and then the results can turn deadly in a hurry. American Staffordshires can be stubborn, yet they respond well to confident owners who know how to establish and enforce rules of expected behavior. Because of public/media prejudice, every American Staffordshire Terrier should be trained through at least basic obedience and always leashed outside of his yard. Every well-behaved American Staffordshire seen on the street can help counteract anti-breed sentiment. If you want a dog who... An American Staffordshire Terrier may be right for you. If you don't want to deal with... An American Staffordshire Terrier may not be right for you. Keep in mind that the inheritance of temperament is less predictable than the inheritance of physical traits such as size or shedding. Temperament and behavior are also shaped by raising and training. More traits and characteristics of the American Staffordshire Terrier If I was considering an American Staffordshire Terrier, I would be most concerned about... To keep your American Staffordshire in, and to keep other animals out, fences should be at least six feet high. If you have a digger, sink wire into the ground along the fence line. Gates should have the highest quality locks. Frankly, the American Staffordshire Terrier may be ""too much dog"" for the average household."
